"function_name","data_range","start_time","end_time","time_lapse","iteration"
"consensus","chr3R-17815","2022-09-11 09:58:13.589567","2022-09-11 09:58:14.889389","00:00:01.299822",22
"consensus","chr3R-17815","2022-09-11 09:58:14.889389","2022-09-11 09:58:16.182625","00:00:01.293236",23
"consensus","chr3R-17815","2022-09-11 09:58:16.182625","2022-09-11 09:58:17.488406","00:00:01.305781",24
"consensus","chr3R-17815","2022-09-11 09:58:17.488406","2022-09-11 09:58:18.877285","00:00:01.388879",25
"consensus","chr3R-17815","2022-09-11 09:58:18.877285","2022-09-11 09:58:20.358207","00:00:01.480922",26
"consensus","chr3R-17815","2022-09-11 09:58:20.358207","2022-09-11 09:58:21.79181","00:00:01.433603",27
"consensus","chr3R-17815","2022-09-11 09:58:21.79181","2022-09-11 09:58:23.149929","00:00:01.358119",28
"consensus","chr3R-17815","2022-09-11 09:58:23.149929","2022-09-11 09:58:24.498758","00:00:01.348829",29
"consensus","chr3R-17815","2022-09-11 09:58:24.498758","2022-09-11 09:58:25.837436","00:00:01.338678",30
"consensus","chr3R-35630","2022-09-11 09:58:25.837436","2022-09-11 09:58:27.194321","00:00:01.356885",1
"consensus","chr3R-35630","2022-09-11 09:58:27.194321","2022-09-11 09:58:34.266207","00:00:07.071886",2
"consensus","chr3R-35630","2022-09-11 09:58:34.266207","2022-09-11 09:58:41.047629","00:00:06.781422",3
"consensus","chr3R-35630","2022-09-11 09:58:41.047629","2022-09-11 09:58:47.639359","00:00:06.59173",4
"consensus","chr3R-35630","2022-09-11 09:58:47.639359","2022-09-11 09:58:54.297938","00:00:06.658579",5
"consensus","chr3R-35630","2022-09-11 09:58:54.297938","2022-09-11 09:59:01.150359","00:00:06.852421",6
"consensus","chr3R-35630","2022-09-11 09:59:01.150359","2022-09-11 09:59:08.908875","00:00:07.758516",7
"consensus","chr3R-35630","2022-09-11 09:59:08.908875","2022-09-11 09:59:15.608223","00:00:06.699348",8
"consensus","chr3R-35630","2022-09-11 09:59:15.608223","2022-09-11 09:59:22.406652","00:00:06.798429",9
"consensus","chr3R-35630","2022-09-11 09:59:22.406652","2022-09-11 09:59:29.006389","00:00:06.599737",10
"consensus","chr3R-35630","2022-09-11 09:59:29.006389","2022-09-11 09:59:35.981792","00:00:06.975403",11
"consensus","chr3R-35630","2022-09-11 09:59:35.981792","2022-09-11 09:59:42.867525","00:00:06.885733",12
"consensus","chr3R-35630","2022-09-11 09:59:42.867525","2022-09-11 09:59:49.664247","00:00:06.796722",13
"consensus","chr3R-35630","2022-09-11 09:59:49.664247","2022-09-11 09:59:56.544518","00:00:06.880271",14
"consensus","chr3R-35630","2022-09-11 09:59:56.544518","2022-09-11 10:00:03.20247","00:00:06.657952",15
"consensus","chr3R-35630","2022-09-11 10:00:03.20247","2022-09-11 10:00:09.493657","00:00:06.291187",16
"consensus","chr3R-35630","2022-09-11 10:00:09.493657","2022-09-11 10:00:15.949539","00:00:06.455882",17
"consensus","chr3R-35630","2022-09-11 10:00:15.949539","2022-09-11 10:00:22.329649","00:00:06.38011",18
"consensus","chr3R-35630","2022-09-11 10:00:22.329649","2022-09-11 10:00:28.654767","00:00:06.325118",19
"consensus","chr3R-35630","2022-09-11 10:00:28.654767","2022-09-11 10:00:34.855142","00:00:06.200375",20
"consensus","chr3R-35630","2022-09-11 10:00:34.855142","2022-09-11 10:00:41.020163","00:00:06.165021",21
"consensus","chr3R-35630","2022-09-11 10:00:41.020163","2022-09-11 10:00:47.656413","00:00:06.63625",22
"consensus","chr3R-35630","2022-09-11 10:00:47.656413","2022-09-11 10:00:53.934713","00:00:06.2783",23
"consensus","chr3R-35630","2022-09-11 10:00:53.934713","2022-09-11 10:01:00.408061","00:00:06.473348",24
"consensus","chr3R-35630","2022-09-11 10:01:00.408061","2022-09-11 10:01:06.919442","00:00:06.511381",25
"consensus","chr3R-35630","2022-09-11 10:01:06.919442","2022-09-11 10:01:13.093303","00:00:06.173861",26
"consensus","chr3R-35630","2022-09-11 10:01:13.093303","2022-09-11 10:01:19.325754","00:00:06.232451",27
"consensus","chr3R-35630","2022-09-11 10:01:19.325754","2022-09-11 10:01:25.510018","00:00:06.184264",28
"consensus","chr3R-35630","2022-09-11 10:01:25.510018","2022-09-11 10:01:31.7353","00:00:06.225282",29
"consensus","chr3R-35630","2022-09-11 10:01:31.7353","2022-09-11 10:01:38.138224","00:00:06.402924",30
"consensus","chr3R-53445","2022-09-11 10:01:38.138224","2022-09-11 10:01:44.522733","00:00:06.384509",1
"consensus","chr3R-53445","2022-09-11 10:01:44.522733","2022-09-11 10:01:56.706069","00:00:12.183336",2
"consensus","chr3R-53445","2022-09-11 10:01:56.706069","2022-09-11 10:02:09.233903","00:00:12.527834",3
"consensus","chr3R-53445","2022-09-11 10:02:09.233903","2022-09-11 10:02:22.885562","00:00:13.651659",4
"consensus","chr3R-53445","2022-09-11 10:02:22.885562","2022-09-11 10:02:36.109027","00:00:13.223465",5
"consensus","chr3R-53445","2022-09-11 10:02:36.109027","2022-09-11 10:02:49.284795","00:00:13.175768",6
"consensus","chr3R-53445","2022-09-11 10:02:49.284795","2022-09-11 10:03:02.572445","00:00:13.28765",7
"consensus","chr3R-53445","2022-09-11 10:03:02.572445","2022-09-11 10:03:16.568975","00:00:13.99653",8
"consensus","chr3R-53445","2022-09-11 10:03:16.568975","2022-09-11 10:03:29.319351","00:00:12.750376",9
"consensus","chr3R-53445","2022-09-11 10:03:29.319351","2022-09-11 10:03:43.11633","00:00:13.796979",10
"consensus","chr3R-53445","2022-09-11 10:03:43.11633","2022-09-11 10:03:55.813617","00:00:12.697287",11
"consensus","chr3R-53445","2022-09-11 10:03:55.813617","2022-09-11 10:04:08.26034","00:00:12.446723",12
"consensus","chr3R-53445","2022-09-11 10:04:08.26034","2022-09-11 10:04:21.071071","00:00:12.810731",13
"consensus","chr3R-53445","2022-09-11 10:04:21.071071","2022-09-11 10:04:33.606056","00:00:12.534985",14
"consensus","chr3R-53445","2022-09-11 10:04:33.606056","2022-09-11 10:04:46.616778","00:00:13.010722",15
"consensus","chr3R-53445","2022-09-11 10:04:46.616778","2022-09-11 10:04:59.662613","00:00:13.045835",16
"consensus","chr3R-53445","2022-09-11 10:04:59.662613","2022-09-11 10:05:12.355079","00:00:12.692466",17
"consensus","chr3R-53445","2022-09-11 10:05:12.355079","2022-09-11 10:05:25.246461","00:00:12.891382",18
"consensus","chr3R-53445","2022-09-11 10:05:25.246461","2022-09-11 10:05:37.690094","00:00:12.443633",19
"consensus","chr3R-53445","2022-09-11 10:05:37.690094","2022-09-11 10:05:52.895161","00:00:15.205067",20
"consensus","chr3R-53445","2022-09-11 10:05:52.895161","2022-09-11 10:06:08.633631","00:00:15.73847",21
"consensus","chr3R-53445","2022-09-11 10:06:08.633631","2022-09-11 10:06:22.545986","00:00:13.912355",22
"consensus","chr3R-53445","2022-09-11 10:06:22.545986","2022-09-11 10:06:34.399318","00:00:11.853332",23
"consensus","chr3R-53445","2022-09-11 10:06:34.399318","2022-09-11 10:06:47.649283","00:00:13.249965",24
"consensus","chr3R-53445","2022-09-11 10:06:47.649283","2022-09-11 10:07:00.52905","00:00:12.879767",25
"consensus","chr3R-53445","2022-09-11 10:07:00.52905","2022-09-11 10:07:12.872061","00:00:12.343011",26
"consensus","chr3R-53445","2022-09-11 10:07:12.872061","2022-09-11 10:07:24.845957","00:00:11.973896",27
"consensus","chr3R-53445","2022-09-11 10:07:24.845957","2022-09-11 10:07:36.806577","00:00:11.96062",28
"consensus","chr3R-53445","2022-09-11 10:07:36.806577","2022-09-11 10:07:48.854273","00:00:12.047696",29
"consensus","chr3R-53445","2022-09-11 10:07:48.854273","2022-09-11 10:08:00.843817","00:00:11.989544",30
"consensus","chr3R-71260","2022-09-11 10:08:00.843817","2022-09-11 10:08:12.839712","00:00:11.995895",1
"consensus","chr3R-71260","2022-09-11 10:08:12.839712","2022-09-11 10:08:33.082546","00:00:20.242834",2
"consensus","chr3R-71260","2022-09-11 10:08:33.082546","2022-09-11 10:08:53.799383","00:00:20.716837",3
"consensus","chr3R-71260","2022-09-11 10:08:53.799383","2022-09-11 10:09:14.349256","00:00:20.549873",4
"consensus","chr3R-71260","2022-09-11 10:09:14.349256","2022-09-11 10:09:35.519122","00:00:21.169866",5
"consensus","chr3R-71260","2022-09-11 10:09:35.519122","2022-09-11 10:09:55.86118","00:00:20.342058",6
"consensus","chr3R-71260","2022-09-11 10:09:55.86118","2022-09-11 10:10:16.332464","00:00:20.471284",7
"consensus","chr3R-71260","2022-09-11 10:10:16.332464","2022-09-11 10:10:37.8043","00:00:21.471836",8
"consensus","chr3R-71260","2022-09-11 10:10:37.8043","2022-09-11 10:10:59.685951","00:00:21.881651",9
"consensus","chr3R-71260","2022-09-11 10:10:59.685951","2022-09-11 10:11:21.51174","00:00:21.825789",10
"consensus","chr3R-71260","2022-09-11 10:11:21.51174","2022-09-11 10:11:43.533752","00:00:22.022012",11
"consensus","chr3R-71260","2022-09-11 10:11:43.533752","2022-09-11 10:12:04.536175","00:00:21.002423",12
"consensus","chr3R-71260","2022-09-11 10:12:04.536175","2022-09-11 10:12:25.130756","00:00:20.594581",13
"consensus","chr3R-71260","2022-09-11 10:12:25.130756","2022-09-11 10:12:46.188098","00:00:21.057342",14
"consensus","chr3R-71260","2022-09-11 10:12:46.188098","2022-09-11 10:13:06.304358","00:00:20.11626",15
"consensus","chr3R-71260","2022-09-11 10:13:06.304358","2022-09-11 10:13:26.345956","00:00:20.041598",16
"consensus","chr3R-71260","2022-09-11 10:13:26.345956","2022-09-11 10:13:48.141174","00:00:21.795218",17
"consensus","chr3R-71260","2022-09-11 10:13:48.141174","2022-09-11 10:14:08.469927","00:00:20.328753",18
"consensus","chr3R-71260","2022-09-11 10:14:08.469927","2022-09-11 10:14:30.594147","00:00:22.12422",19
"consensus","chr3R-71260","2022-09-11 10:14:30.594147","2022-09-11 10:14:51.609003","00:00:21.014856",20
"consensus","chr3R-71260","2022-09-11 10:14:51.609003","2022-09-11 10:15:11.953231","00:00:20.344228",21
"consensus","chr3R-71260","2022-09-11 10:15:11.953231","2022-09-11 10:15:32.297348","00:00:20.344117",22
"consensus","chr3R-71260","2022-09-11 10:15:32.297348","2022-09-11 10:15:53.313954","00:00:21.016606",23
"consensus","chr3R-71260","2022-09-11 10:15:53.313954","2022-09-11 10:16:13.74302","00:00:20.429066",24
"consensus","chr3R-71260","2022-09-11 10:16:13.74302","2022-09-11 10:16:34.127445","00:00:20.384425",25
"consensus","chr3R-71260","2022-09-11 10:16:34.127445","2022-09-11 10:16:54.452485","00:00:20.32504",26
"consensus","chr3R-71260","2022-09-11 10:16:54.452485","2022-09-11 10:17:15.032641","00:00:20.580156",27
"consensus","chr3R-71260","2022-09-11 10:17:15.032641","2022-09-11 10:17:35.370919","00:00:20.338278",28
"consensus","chr3R-71260","2022-09-11 10:17:35.370919","2022-09-11 10:17:55.721385","00:00:20.350466",29
"consensus","chr3R-71260","2022-09-11 10:17:55.721385","2022-09-11 10:18:16.145721","00:00:20.424336",30
"consensus","chr3R-89075","2022-09-11 10:18:16.145721","2022-09-11 10:18:36.486147","00:00:20.340426",1
"consensus","chr3R-89075","2022-09-11 10:18:36.486147","2022-09-11 10:19:25.288144","00:00:48.801997",2
"consensus","chr3R-89075","2022-09-11 10:19:25.288144","2022-09-11 10:20:15.181669","00:00:49.893525",3
"consensus","chr3R-89075","2022-09-11 10:20:15.181669","2022-09-11 10:21:04.529854","00:00:49.348185",4
"consensus","chr3R-89075","2022-09-11 10:21:04.529854","2022-09-11 10:21:37.11119","00:00:32.581336",5
"consensus","chr3R-89075","2022-09-11 10:21:37.11119","2022-09-11 10:22:13.009964","00:00:35.898774",6
"consensus","chr3R-89075","2022-09-11 10:22:13.009964","2022-09-11 10:22:49.429384","00:00:36.41942",7
"consensus","chr3R-89075","2022-09-11 10:22:49.429384","2022-09-11 10:23:22.633368","00:00:33.203984",8
"consensus","chr3R-89075","2022-09-11 10:23:22.633368","2022-09-11 10:23:55.095529","00:00:32.462161",9
"consensus","chr3R-89075","2022-09-11 10:23:55.095529","2022-09-11 10:24:27.53349","00:00:32.437961",10
"consensus","chr3R-89075","2022-09-11 10:24:27.53349","2022-09-11 10:24:59.794628","00:00:32.261138",11
"consensus","chr3R-89075","2022-09-11 10:24:59.794628","2022-09-11 10:25:31.950004","00:00:32.155376",12
"consensus","chr3R-89075","2022-09-11 10:25:31.950004","2022-09-11 10:26:04.162272","00:00:32.212268",13
"consensus","chr3R-89075","2022-09-11 10:26:04.162272","2022-09-11 10:26:36.353364","00:00:32.191092",14
"consensus","chr3R-89075","2022-09-11 10:26:36.353364","2022-09-11 10:27:10.826364","00:00:34.473",15
"consensus","chr3R-89075","2022-09-11 10:27:10.826364","2022-09-11 10:27:44.017699","00:00:33.191335",16
"consensus","chr3R-89075","2022-09-11 10:27:44.017699","2022-09-11 10:28:17.337092","00:00:33.319393",17
"consensus","chr3R-89075","2022-09-11 10:28:17.337092","2022-09-11 10:28:53.469588","00:00:36.132496",18
"consensus","chr3R-89075","2022-09-11 10:28:53.469588","2022-09-11 10:29:26.001785","00:00:32.532197",19
"consensus","chr3R-89075","2022-09-11 10:29:26.001785","2022-09-11 10:29:58.476796","00:00:32.475011",20
"consensus","chr3R-89075","2022-09-11 10:29:58.476796","2022-09-11 10:30:31.004883","00:00:32.528087",21
"consensus","chr3R-89075","2022-09-11 10:30:31.004883","2022-09-11 10:31:03.600092","00:00:32.595209",22
"consensus","chr3R-89075","2022-09-11 10:31:03.600092","2022-09-11 10:31:36.407922","00:00:32.80783",23
"consensus","chr3R-89075","2022-09-11 10:31:36.407922","2022-09-11 10:32:10.396963","00:00:33.989041",24
"consensus","chr3R-89075","2022-09-11 10:32:10.396963","2022-09-11 10:32:42.813269","00:00:32.416306",25
"consensus","chr3R-89075","2022-09-11 10:32:42.813269","2022-09-11 10:33:15.576573","00:00:32.763304",26
"consensus","chr3R-89075","2022-09-11 10:33:15.576573","2022-09-11 10:33:48.406866","00:00:32.830293",27
"consensus","chr3R-89075","2022-09-11 10:33:48.406866","2022-09-11 10:34:20.973256","00:00:32.56639",28
"consensus","chr3R-89075","2022-09-11 10:34:20.973256","2022-09-11 10:34:53.322724","00:00:32.349468",29
"consensus","chr3R-89075","2022-09-11 10:34:53.322724","2022-09-11 10:35:25.594039","00:00:32.271315",30
"consensus","chr3R-106890","2022-09-11 10:35:25.594039","2022-09-11 10:35:57.401445","00:00:31.807406",1
"consensus","chr3R-106890","2022-09-11 10:35:57.401445","2022-09-11 10:36:47.856745","00:00:50.4553",2
"consensus","chr3R-106890","2022-09-11 10:36:47.856745","2022-09-11 10:37:39.271296","00:00:51.414551",3
"consensus","chr3R-106890","2022-09-11 10:37:39.271296","2022-09-11 10:38:34.356572","00:00:55.085276",4
"consensus","chr3R-106890","2022-09-11 10:38:34.356572","2022-09-11 10:39:28.301587","00:00:53.945015",5
"consensus","chr3R-106890","2022-09-11 10:39:28.301587","2022-09-11 10:40:19.721368","00:00:51.419781",6
"consensus","chr3R-106890","2022-09-11 10:40:19.721368","2022-09-11 10:41:11.725787","00:00:52.004419",7
"consensus","chr3R-106890","2022-09-11 10:41:11.725787","2022-09-11 10:42:04.027723","00:00:52.301936",8
"consensus","chr3R-106890","2022-09-11 10:42:04.027723","2022-09-11 10:42:56.737694","00:00:52.709971",9
"consensus","chr3R-106890","2022-09-11 10:42:56.737694","2022-09-11 10:43:49.994685","00:00:53.256991",10
"consensus","chr3R-106890","2022-09-11 10:43:49.994685","2022-09-11 10:44:43.170712","00:00:53.176027",11
"consensus","chr3R-106890","2022-09-11 10:44:43.170712","2022-09-11 10:45:34.274988","00:00:51.104276",12
"consensus","chr3R-106890","2022-09-11 10:45:34.274988","2022-09-11 10:46:25.102566","00:00:50.827578",13
"consensus","chr3R-106890","2022-09-11 10:46:25.102566","2022-09-11 10:47:18.422153","00:00:53.319587",14
"consensus","chr3R-106890","2022-09-11 10:47:18.422153","2022-09-11 10:48:10.566996","00:00:52.144843",15
"consensus","chr3R-106890","2022-09-11 10:48:10.566996","2022-09-11 10:49:02.142737","00:00:51.575741",16
"consensus","chr3R-106890","2022-09-11 10:49:02.142737","2022-09-11 10:49:51.941347","00:00:49.79861",17
"consensus","chr3R-106890","2022-09-11 10:49:51.941347","2022-09-11 10:50:43.387507","00:00:51.44616",18
"consensus","chr3R-106890","2022-09-11 10:50:43.387507","2022-09-11 10:51:37.1902","00:00:53.802693",19
"consensus","chr3R-106890","2022-09-11 10:51:37.1902","2022-09-11 10:52:27.850273","00:00:50.660073",20
"consensus","chr3R-106890","2022-09-11 10:52:27.850273","2022-09-11 10:53:22.275804","00:00:54.425531",21
"consensus","chr3R-106890","2022-09-11 10:53:22.275804","2022-09-11 10:54:16.118654","00:00:53.84285",22
"consensus","chr3R-106890","2022-09-11 10:54:16.118654","2022-09-11 10:55:12.665983","00:00:56.547329",23
"consensus","chr3R-106890","2022-09-11 10:55:12.665983","2022-09-11 10:56:07.029191","00:00:54.363208",24
"consensus","chr3R-106890","2022-09-11 10:56:07.029191","2022-09-11 10:57:05.307742","00:00:58.278551",25
"consensus","chr3R-106890","2022-09-11 10:57:05.307742","2022-09-11 10:58:04.292364","00:00:58.984622",26
"consensus","chr3R-106890","2022-09-11 10:58:04.292364","2022-09-11 10:59:04.382687","00:01:00.090323",27
"consensus","chr3R-106890","2022-09-11 10:59:04.382687","2022-09-11 10:59:59.788143","00:00:55.405456",28
"consensus","chr3R-106890","2022-09-11 10:59:59.788143","2022-09-11 11:00:52.954711","00:00:53.166568",29
"consensus","chr3R-106890","2022-09-11 11:00:52.954711","2022-09-11 11:01:46.897194","00:00:53.942483",30
"consensus","chr3R-124705","2022-09-11 11:01:46.897194","2022-09-11 11:02:39.571798","00:00:52.674604",1
"consensus","chr3R-124705","2022-09-11 11:02:39.571798","2022-09-11 11:04:01.123137","00:01:21.551339",2
"consensus","chr3R-124705","2022-09-11 11:04:01.123137","2022-09-11 11:05:23.247314","00:01:22.124177",3
"consensus","chr3R-124705","2022-09-11 11:05:23.247314","2022-09-11 11:06:36.059386","00:01:12.812072",4
"consensus","chr3R-124705","2022-09-11 11:06:36.059386","2022-09-11 11:07:50.857278","00:01:14.797892",5
"consensus","chr3R-124705","2022-09-11 11:07:50.857278","2022-09-11 11:09:06.110031","00:01:15.252753",6
"consensus","chr3R-124705","2022-09-11 11:09:06.110031","2022-09-11 11:10:20.783612","00:01:14.673581",7
"consensus","chr3R-124705","2022-09-11 11:10:20.783612","2022-09-11 11:11:35.427967","00:01:14.644355",8
"consensus","chr3R-124705","2022-09-11 11:11:35.427967","2022-09-11 11:12:50.922826","00:01:15.494859",9
"consensus","chr3R-124705","2022-09-11 11:12:50.922826","2022-09-11 11:14:05.940207","00:01:15.017381",10
"consensus","chr3R-124705","2022-09-11 11:14:05.940207","2022-09-11 11:15:19.654367","00:01:13.71416",11
"consensus","chr3R-124705","2022-09-11 11:15:19.654367","2022-09-11 11:16:35.762852","00:01:16.108485",12
"consensus","chr3R-124705","2022-09-11 11:16:35.762852","2022-09-11 11:17:52.764853","00:01:17.002001",13
"consensus","chr3R-124705","2022-09-11 11:17:52.764853","2022-09-11 11:19:06.698614","00:01:13.933761",14
"consensus","chr3R-124705","2022-09-11 11:19:06.698614","2022-09-11 11:20:27.865099","00:01:21.166485",15
"consensus","chr3R-124705","2022-09-11 11:20:27.865099","2022-09-11 11:21:44.669919","00:01:16.80482",16
"consensus","chr3R-124705","2022-09-11 11:21:44.669919","2022-09-11 11:23:25.889649","00:01:41.21973",17
"consensus","chr3R-124705","2022-09-11 11:23:25.889649","2022-09-11 11:24:39.95279","00:01:14.063141",18
"consensus","chr3R-124705","2022-09-11 11:24:39.95279","2022-09-11 11:25:54.925298","00:01:14.972508",19
"consensus","chr3R-124705","2022-09-11 11:25:54.925298","2022-09-11 11:27:09.992686","00:01:15.067388",20
"consensus","chr3R-124705","2022-09-11 11:27:09.992686","2022-09-11 11:28:30.760306","00:01:20.76762",21
"consensus","chr3R-124705","2022-09-11 11:28:30.760306","2022-09-11 11:29:43.502282","00:01:12.741976",22
"consensus","chr3R-124705","2022-09-11 11:29:43.502282","2022-09-11 11:30:59.315128","00:01:15.812846",23
"consensus","chr3R-124705","2022-09-11 11:30:59.315128","2022-09-11 11:32:19.32385","00:01:20.008722",24
"consensus","chr3R-124705","2022-09-11 11:32:19.32385","2022-09-11 11:33:35.492273","00:01:16.168423",25
"consensus","chr3R-124705","2022-09-11 11:33:35.492273","2022-09-11 11:34:56.410151","00:01:20.917878",26
"consensus","chr3R-124705","2022-09-11 11:34:56.410151","2022-09-11 11:36:11.79196","00:01:15.381809",27
"consensus","chr3R-124705","2022-09-11 11:36:11.79196","2022-09-11 11:37:23.812904","00:01:12.020944",28
"consensus","chr3R-124705","2022-09-11 11:37:23.812904","2022-09-11 11:38:38.929508","00:01:15.116604",29
"consensus","chr3R-124705","2022-09-11 11:38:38.929508","2022-09-11 11:39:56.688671","00:01:17.759163",30
"consensus","chr3R-142520","2022-09-11 11:39:56.688671","2022-09-11 11:41:12.33533","00:01:15.646659",1
"consensus","chr3R-142520","2022-09-11 11:41:12.33533","2022-09-11 11:42:44.925742","00:01:32.590412",2
"consensus","chr3R-142520","2022-09-11 11:42:44.925742","2022-09-11 11:44:15.986112","00:01:31.06037",3
"consensus","chr3R-142520","2022-09-11 11:44:15.986112","2022-09-11 11:45:58.897044","00:01:42.910932",4
"consensus","chr3R-142520","2022-09-11 11:45:58.897044","2022-09-11 11:47:31.59841","00:01:32.701366",5
"consensus","chr3R-142520","2022-09-11 11:47:31.59841","2022-09-11 11:49:02.661507","00:01:31.063097",6
"consensus","chr3R-142520","2022-09-11 11:49:02.661507","2022-09-11 11:50:35.383559","00:01:32.722052",7
"consensus","chr3R-142520","2022-09-11 11:50:35.383559","2022-09-11 11:52:13.627753","00:01:38.244194",8
"consensus","chr3R-142520","2022-09-11 11:52:13.627753","2022-09-11 11:53:48.454654","00:01:34.826901",9
"consensus","chr3R-142520","2022-09-11 11:53:48.454654","2022-09-11 11:55:23.812312","00:01:35.357658",10
"consensus","chr3R-142520","2022-09-11 11:55:23.812312","2022-09-11 11:56:59.63782","00:01:35.825508",11
"consensus","chr3R-142520","2022-09-11 11:56:59.63782","2022-09-11 11:58:32.083298","00:01:32.445478",12
"consensus","chr3R-142520","2022-09-11 11:58:32.083298","2022-09-11 12:00:08.046161","00:01:35.962863",13
"consensus","chr3R-142520","2022-09-11 12:00:08.046161","2022-09-11 12:01:45.335364","00:01:37.289203",14
"consensus","chr3R-142520","2022-09-11 12:01:45.335364","2022-09-11 12:03:17.776742","00:01:32.441378",15
"consensus","chr3R-142520","2022-09-11 12:03:17.776742","2022-09-11 12:04:49.322621","00:01:31.545879",16
"consensus","chr3R-142520","2022-09-11 12:04:49.322621","2022-09-11 12:06:18.605427","00:01:29.282806",17
"consensus","chr3R-142520","2022-09-11 12:06:18.605427","2022-09-11 12:07:54.272356","00:01:35.666929",18
"consensus","chr3R-142520","2022-09-11 12:07:54.272356","2022-09-11 12:09:37.876268","00:01:43.603912",19
"consensus","chr3R-142520","2022-09-11 12:09:37.876268","2022-09-11 12:11:17.378295","00:01:39.502027",20
"consensus","chr3R-142520","2022-09-11 12:11:17.378295","2022-09-11 12:12:48.19036","00:01:30.812065",21
"consensus","chr3R-142520","2022-09-11 12:12:48.19036","2022-09-11 12:14:20.371251","00:01:32.180891",22
"consensus","chr3R-142520","2022-09-11 12:14:20.371251","2022-09-11 12:15:49.414831","00:01:29.04358",23
"consensus","chr3R-142520","2022-09-11 12:15:49.414831","2022-09-11 12:17:16.28671","00:01:26.871879",24
"consensus","chr3R-142520","2022-09-11 12:17:16.28671","2022-09-11 12:18:43.139627","00:01:26.852917",25
"consensus","chr3R-142520","2022-09-11 12:18:43.139627","2022-09-11 12:20:21.271156","00:01:38.131529",26
"consensus","chr3R-142520","2022-09-11 12:20:21.271156","2022-09-11 12:21:53.585315","00:01:32.314159",27
"consensus","chr3R-142520","2022-09-11 12:21:53.585315","2022-09-11 12:23:24.34337","00:01:30.758055",28
"consensus","chr3R-142520","2022-09-11 12:23:24.34337","2022-09-11 12:24:56.163044","00:01:31.819674",29
"consensus","chr3R-142520","2022-09-11 12:24:56.163044","2022-09-11 12:26:24.957848","00:01:28.794804",30
"consensus","chr3R-160335","2022-09-11 12:26:24.957848","2022-09-11 12:27:52.904213","00:01:27.946365",1
"consensus","chr3R-160335","2022-09-11 12:27:52.904213","2022-09-11 12:29:41.841147","00:01:48.936934",2
"consensus","chr3R-160335","2022-09-11 12:29:41.841147","2022-09-11 12:31:26.78439","00:01:44.943243",3
"consensus","chr3R-160335","2022-09-11 12:31:26.78439","2022-09-11 12:33:12.96427","00:01:46.17988",4
"consensus","chr3R-160335","2022-09-11 12:33:12.96427","2022-09-11 12:34:57.296109","00:01:44.331839",5
"consensus","chr3R-160335","2022-09-11 12:34:57.296109","2022-09-11 12:36:49.540951","00:01:52.244842",6
"consensus","chr3R-160335","2022-09-11 12:36:49.540951","2022-09-11 12:38:39.419444","00:01:49.878493",7
"consensus","chr3R-160335","2022-09-11 12:38:39.419444","2022-09-11 12:40:25.862874","00:01:46.44343",8
"consensus","chr3R-160335","2022-09-11 12:40:25.862874","2022-09-11 12:42:11.343094","00:01:45.48022",9
